CVEGEO,Estatus,CVE_ENT,NOM_ENT,NOM_ABR,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,AMBITO,LATITUD,LONGITUD,LAT_DECIMAL,LON_DECIMAL,ALTITUD,CVE_CARTA,POB_TOTAL,POB_MASCULINA,POB_FEMENINA,TOTAL DE VIVIENDAS HABITADAS
"130010001","","13","Hidalgo","Hgo.","001","Acatlán","0001","Acatlán","U","20°08´45.251"N","098°26´18.139"W","20.14590300","-98.43837200","2134","F14D82","439","210","229","130"
"130010002","","13","Hidalgo","Hgo.","001","Acatlán","0002","Agustín Olvera Sección I [Colonia]","R","20°07´47.527"N","098°25´34.960"W","20.12986800","-98.42637700","2139","F14D82","405","186","219","111"
"130010003","","13","Hidalgo","Hgo.","001","Acatlán","0003","Alcholoya (El Salto de Alcholoya)","R","20°13´31.538"N","098°27´11.085"W","20.22542700","-98.45307900","2080","F14D82","867","431","436","246"
"130010004","","13","Hidalgo","Hgo.","001","Acatlán","0004","Almoloya","R","20°09´07.051"N","098°26´57.699"W","20.15195900","-98.44936100","2171","F14D82","1499","738","761","410"
"130010005","","13","Hidalgo","Hgo.","001","Acatlán","0005","Los Arcos","R","20°10´34.278"N","098°26´53.749"W","20.17618800","-98.44826300","2122","F14D82","692","339","353","177"
"130010006","","13","Hidalgo","Hgo.","001","Acatlán","0006","Benito Juárez [Colonia]","R","20°08´21.856"N","098°26´57.863"W","20.13940400","-98.44940600","2158","F14D82","754","370","384","201"
"130010007","","13","Hidalgo","Hgo.","001","Acatlán","0007","Buena Vista","R","20°19´32.855"N","098°27´22.359"W","20.32579200","-98.45621100","2208","F14D72","252","114","138","69"
"130010008","","13","Hidalgo","Hgo.","001","Acatlán","0008","Chauténco","R","20°07´46.712"N","098°26´56.171"W","20.12964200","-98.44893600","2176","F14D82","1011","492","519","264"
"130010010","","13","Hidalgo","Hgo.","001","Acatlán","0010","Encinillos","R","20°11´52.235"N","098°26´01.801"W","20.19784300","-98.43383300","2127","F14D82","751","338","413","202"
"130010011","","13","Hidalgo","Hgo.","001","Acatlán","0011","Hueyotlipa","R","20°16´54.219"N","098°25´46.212"W","20.28172700","-98.42950300","2136","F14D72","193","94","99","54"
"130010012","","13","Hidalgo","Hgo.","001","Acatlán","0012","El Huizache y la Paloma","R","20°13´23.093"N","098°28´21.401"W","20.22308100","-98.47261100","2100","F14D82","341","159","182","91"
"130010013","","13","Hidalgo","Hgo.","001","Acatlán","0013","Loma Larga","R","20°16´12.204"N","098°28´46.021"W","20.27005600","-98.47945000","1980","F14D72","240","117","123","71"
"130010015","","13","Hidalgo","Hgo.","001","Acatlán","0015","Metepec Primero","R","20°08´29.057"N","098°26´07.587"W","20.14140400","-98.43544100","2140","F14D82","1215","568","647","337"
"130010016","","13","Hidalgo","Hgo.","001","Acatlán","0016","El Milagro San Simón","R","20°11´48.643"N","098°27´38.515"W","20.19684500","-98.46069900","2114","F14D82","258","126","132","65"
"130010017","","13","Hidalgo","Hgo.","001","Acatlán","0017","Mixquiapan","R","20°08´32.379"N","098°28´57.293"W","20.14232700","-98.48258100","2400","F14D82","682","312","370","156"
"130010018","","13","Hidalgo","Hgo.","001","Acatlán","0018","La Peñuela","R","20°15´53.268"N","098°26´40.409"W","20.26479700","-98.44455800","2119","F14D72","139","73","66","36"
"130010019","","13","Hidalgo","Hgo.","001","Acatlán","0019","San Antonio la Palma","R","20°15´08.460"N","098°25´06.360"W","20.25235000","-98.41843300","2135","F14D72","151","69","82","44"
"130010020","","13","Hidalgo","Hgo.","001","Acatlán","0020","San Bartolo (El Llano)","R","20°15´15.185"N","098°27´32.926"W","20.25421800","-98.45914600","2136","F14D72","784","392","392","196"
"130010021","","13","Hidalgo","Hgo.","001","Acatlán","0021","San Dionisio","R","20°07´34.362"N","098°27´53.522"W","20.12621100","-98.46486700","2227","F14D82","1240","575","665","308"
"130010022","","13","Hidalgo","Hgo.","001","Acatlán","0022","San Pablo","R","20°17´49.991"N","098°28´35.289"W","20.29721900","-98.47646900","1679","F14D72","213","102","111","49"
"130010023","","13","Hidalgo","Hgo.","001","Acatlán","0023","Totoapa el Grande","R","20°11´21.288"N","098°26´46.994"W","20.18924600","-98.44638700","2100","F14D82","306","135","171","91"
"130010024","","13","Hidalgo","Hgo.","001","Acatlán","0024","Totoapita Canutillo","R","20°11´10.911"N","098°24´41.531"W","20.18636400","-98.41153600","2120","F14D82","215","100","115","57"
"130010025","","13","Hidalgo","Hgo.","001","Acatlán","0025","Totoapita la Herradura","R","20°10´55.680"N","098°26´06.029"W","20.18213300","-98.43500800","2102","F14D82","110","49","61","28"
"130010026","","13","Hidalgo","Hgo.","001","Acatlán","0026","La Unión","R","20°13´53.942"N","098°24´52.854"W","20.23165000","-98.41468200","2133","F14D82","324","155","169","73"
